ID	GENE	GENE_SIZE	GC_CONTENT	
ENSG00000000003	TSPAN6	12882	40.4	
ENSG00000000005	TNMD	15083	40.8	
ENSG00000000419	DPM1	23688	39.85	
ENSG00000000457	SCYL3	44636	40.14	
ENSG00000000460	C1orf112	192073	39.22	
ENSG00000000938	FGR	23213	52.97	
ENSG00000000971	CFH	95626	35.2	
ENSG00000001036	FUCA2	16879	39.69	
ENSG00000001084	GCLC	119629	40.16	
ENSG00000001167	NFYA	27031	40	
ENSG00000001460	STPG1	59935	44.09	
ENSG00000001461	NIPAL3	57182	45	
ENSG00000001497	LAS1L	22193	50.45	
ENSG00000001561	ENPP4	16706	36.06	
ENSG00000001617	SEMA3F	34030	57.74	
ENSG00000001626	CFTR	250187	36.59	
ENSG00000001629	ANKIB1	155150	36.77	
ENSG00000001630	CYP51A1	30801	39.91	
ENSG00000001631	KRIT1	47197	36.48	
ENSG00000002016	RAD52	77976	45.17	
ENSG00000002079	MYH16	72336	49.9	
ENSG00000002330	BAD	14874	53.92	
ENSG00000002549	LAP3	30780	44.17	
ENSG00000002586	CD99	50130	47.39	
ENSG00000002587	HS3ST1	36615	43.92	
ENSG00000002726	AOC1	36877	47.8	
ENSG00000002745	WNT16	15737	38.61	
ENSG00000002746	HECW1	453402	42.03	
ENSG00000002822	MAD1L1	417450	55.65	
ENSG00000002834	LASP1	51911	53.69	
ENSG00000002919	SNX11	19717	48	
ENSG00000002933	TMEM176A	4717	57.57	
ENSG00000003056	M6PR	9592	42.71	
ENSG00000003096	KLHL13	219527	36.56	
ENSG00000003137	CYP26B1	18800	59.96	
ENSG00000003147	ICA1	149503	40.3	
ENSG00000003249	DBNDD1	15263	59.39	
ENSG00000003393	ALS2	80635	38.06	
ENSG00000003400	CASP10	46525	42.31	
ENSG00000003402	CFLAR	60583	44.35	
ENSG00000003436	TFPI	101530	36.6	
ENSG00000003509	NDUFAF7	21772	38.97	
ENSG00000003756	RBM5	30113	44.45	
ENSG00000003987	MTMR7	115498	40.36	
ENSG00000003989	SLC7A2	73485	40.13	
ENSG00000004059	ARF5	3360	56.5	
ENSG00000004139	SARM1	39693	51.55	
ENSG00000004142	POLDIP2	10345	50.16	
ENSG00000004399	PLXND1	51643	58.39	
ENSG00000004455	AK2	73056	46.32	
ENSG00000004468	CD38	74955	41.09	
ENSG00000004478	FKBP4	10470	51.56	
ENSG00000004487	KDM1A	64241	39.16	
ENSG00000004534	RBM6	160038	44.14	
ENSG00000004660	CAMKK1	34576	57.17	
ENSG00000004700	RECQL	32758	37.57	
ENSG00000004766	VPS50	128781	34.83	
ENSG00000004776	HSPB6	3511	62.56	
ENSG00000004777	ARHGAP33	14290	60.93	
ENSG00000004779	NDUFAB1	15354	48.8	
ENSG00000004799	PDK4	12992	36.07	
ENSG00000004809	SLC22A16	51954	41.33	
ENSG00000004838	ZMYND10	5742	57.81	
ENSG00000004846	ABCB5	161831	37.73	
ENSG00000004848	ARX	12726	54.62	
ENSG00000004864	SLC25A13	201927	39.76	
ENSG00000004866	ST7	276865	39.15	
ENSG00000004897	CDC27	71719	38.66	
ENSG00000004939	SLC4A1	19756	55.8	
ENSG00000004948	CALCR	150243	35.2	
ENSG00000004961	HCCS	11777	42.99	
ENSG00000004975	DVL2	9204	55.14	
ENSG00000005001	PRSS22	5443	59.35	
ENSG00000005007	UPF1	36298	55.16	
ENSG00000005020	SKAP2	328177	36.94	
ENSG00000005022	SLC25A5	2919	53.25	
ENSG00000005059	MCUB	128521	41.01	
ENSG00000005073	HOXA11	3713	55.22	
ENSG00000005075	POLR2J	5789	55.04	
ENSG00000005100	DHX33	28148	45.81	
ENSG00000005102	MEOX1	21566	51.61	
ENSG00000005108	THSD7A	461841	35.51	
ENSG00000005156	LIG3	29249	47.23	
ENSG00000005175	RPAP3	44812	36.57	
ENSG00000005187	ACSM3	187338	41.08	
ENSG00000005189		43239	39.89	
ENSG00000005194	CIAPIN1	19359	44.41	
ENSG00000005206	SPPL2B	26191	61.06	
ENSG00000005238	FAM214B	12229	54.68	
ENSG00000005243	COPZ2	11863	52.71	
ENSG00000005249	PRKAR2B	117162	38.63	
ENSG00000005302	MSL3	17594	42.85	
ENSG00000005339	CREBBP	155672	45.01	
ENSG00000005379	TSPOAP1	27532	57.84	
ENSG00000005381	MPO	11079	55.13	
ENSG00000005421	PON1	27031	40.5	
ENSG00000005436	GCFC2	58989	36.39	
ENSG00000005448	WDR54	4077	54.68	
ENSG00000005469	CROT	54114	37.43	
ENSG00000005471	ABCB4	78738	38.6	
ENSG00000005483	KMT2E	100182	37.46	
ENSG00000005486	RHBDD2	46324	47.79	
ENSG00000005513	SOX8	5171	64.81	
ENSG00000005700	IBTK	77771	36.07	
ENSG00000005801	ZNF195	39961	41.43	
ENSG00000005810	MYCBP2	282395	35.72	
ENSG00000005812	FBXL3	34597	38.36	
ENSG00000005844	ITGAL	50527	50.46	
ENSG00000005882	PDK2	17415	56.67	
ENSG00000005884	ITGA3	34513	52.64	
ENSG00000005889	ZFX	67082	40.77	
ENSG00000005893	LAMP2	41538	38.79	
ENSG00000005961	ITGA2B	17325	54.83	
ENSG00000005981	ASB4	61788	38.27	
ENSG00000006007	GDE1	20456	40.17	
ENSG00000006015	C19orf60	3651	60.24	
ENSG00000006016	CRLF1	35521	55.32	
ENSG00000006025	OSBPL7	14462	57.86	
ENSG00000006042	TMEM98	17196	48.47	
ENSG00000006047	YBX2	6363	57.92	
ENSG00000006059	KRT33A	4720	48.36	
ENSG00000006062	MAP3K14	53919	49.97	
ENSG00000006071	ABCC8	83960	50	
ENSG00000006116	CACNG3	107248	44.54	
ENSG00000006118	TMEM132A	12696	58.71	
